card_id,title,price_primary,price_history,location,labels,description,vehicle_history,comment,scrap_date,source_id,dl_loaded_date
336054,2023 Kia Rio S,"$19,995","2/28/23: $20,995 | 4/06/23: $20,599 | 4/20/23: $19,995","27932 Lorain Rd North Olmsted, OH 44070",Great Deal | $840 under|CPO Warrantied|Home Delivery|Virtual Appointments|VIN: 3KPA25AD0PE512839|Included warranty,"2023, 1-Speed CVT with Overdrive, 1.6L I4 16V MPFI DOHC, Gasoline, 8 261 mi. | hatchback, Front-wheel Drive, Blue",Accidents or damage: None reported | 1-owner vehicle: Yes | Personal use only: Yes,"Recent Arrival! Certified. SAFETY CHECKED, CLEAN CARFAX, ONE OWNER, LOCAL TRADE, LOW MILES, WEEKLY SPECIAL, Bluetooth, Carpeted Floormats, Black Cloth. 32/41 City/Highway MPG Kia Certified Pre-Owned Details:  Transferable Warranty  Powertrain Limited Warranty: 120 Month/100|…|,000 Mile (whichever comes first) from original in-service date  Vehicle History  Includes Rental Car and Trip Interruption Reimbursement. 3 month Sirius trial subscription  Limited Warranty: 12 Month/12,000 Mile (whichever comes first) Platinum Coverage from certified purchase date  Warranty Deductible: $50  165 Point Inspection  Roadside Assistance",2023-05-01T08:00:40.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
H9895,2023 Nissan Frontier SV,"$17,500","","12 Worth Street Yonkers, NY 10701",VIN: 1N6ED1CL9PN613024,"2023, Automatic, 3.8L V6 24V GDI DOHC, Gasoline, 7 mi. | pickup truck, Rear-wheel Drive, Tactical Green",Accidents or damage: None reported | Clean title: No | 1-owner vehicle: Yes | Personal use only: Yes,"This 2023 Nissan Frontier 4dr Parts in Stock! features a 3.8L V6 CYLINDER 6cyl Gasoline engine. It is equipped with a 9 Speed Automatic transmission. The vehicle is Not Specified with a Not Specified interior. It is offered As-Is, extended warranty is available. - Cruise Control, Tinted Windows, Pow|…|er Steering, Power Windows, Memory Seat Position, Clock, Tachometer, Tilt Steering Wheel, Steering Wheel Radio Controls, Driver Airbag, Passenger Airbag, Side Airbags, Keyless Entry, Intermittent Wipers, AM/FM, Aux. Audio Input, Bluetooth, Center Arm Rest, Cup Holders, Premium Sound, Reverse Camera, Roll Stability Control, Side Curtain Airbags, Tire Pressure Monitor - Contact Michael Maratto at 914-968-0066 or mikem@sawmillautos.com for more information. -",2023-05-01T08:01:18.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
C94435,2023 Hyundai Elantra SEL,"$22,998","","250 Haddonfield-Berlin Rd Cherry Hill, NJ 08034",Good Deal|Home Delivery|Virtual Appointments|VIN: 5NPLM4AG6PH094435,"2023, IVT, 2.0L I4 16V MPFI DOHC, Gasoline, 16 251 mi. | sedan, Front-wheel Drive, Quartz White",Accidents or damage: None reported | Clean title: Yes | 1-owner vehicle: Yes | Personal use only: Yes | Open recall: At least 1 open recall reported,"If it's a reliable used car you seek, our friendly and knowledgeable sales staff can direct you to a vehicle that meets all of your needs, whatever they may be. At Winner Ford, we also offer guaranteed pricing, ensuring that you know exactly what you're signing up for every step of the way. Thank You For Visiting Winner Ford!",2023-05-01T08:02:32.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
H14771A,2023 Hyundai Kona SEL,"$27,040","","1121 E Atlantic St South Hill, VA 23970",Good Deal|Home Delivery|Virtual Appointments|VIN: KM8K6CAB2PU952778,"2023, IVT, 2.0L I4 16V MPFI DOHC, Gasoline, 1 488 mi. | suv, All-wheel Drive, Cactus Fern",Accidents or damage: None reported | Clean title: Yes | 1-owner vehicle: Yes | Personal use only: Yes,"CARFAX One-Owner. Review/Back-Up Camera, Bluetooth, Apple Car Play/ Android Auto, Completely serviced and VA state inspected, Apple CarPlay & Android Auto, Option Group 01, 17 x 7.0J Alloy Wheels, 4-Wheel Disc Brakes, 5.715 Axle Ratio, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM ra|…|dio: SiriusXM, Brake assist, Bumpers: body-color, Cargo Net, Carpeted Floor Mats, Cloth Seat Trim, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: Blue Link Connected Car Service (3-year complimentary subscription), Exterior Parking Camera Rear, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front reading lights, Fully automatic headlights, Heated door mirrors, Illuminated entry, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power driver seat, Power steering, Power windows, Radio: AM/FM/HD/SiriusXM Audio System, Rear anti-roll bar, Rear seat center armrest, Rear window defroster, Rear window wiper, Remote keyless entry, Roof Rack Cross Rails, Roof rack: rails only, Security system, Speed control, Speed-sensing steering, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Turn signal indicator mirrors, Variably intermittent wipers, Apple CarPlay & Android Auto, Option Group 01. Clean CARFAX. Call us now, because at this price this vehicle will move fast! Odometer is 2671 miles below market average! 28/33 City/Highway MPG This vehicle passes our 127 Point Boyd Retail Ready inspection and it is now being offered for sale at a very low competitive price. We offer finance options and will work to ensure we can structure a financing pl",2023-05-01T08:06:37.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
J0038,2023 Nissan Kicks SR,"$18,900","","12 Worth Street Yonkers, NY 10701",Hot Car|VIN: 3N1CP5DVXPL482245,"2023, Automatic CVT, 1.6L I4 16V MPFI DOHC, Gasoline, 997 mi. | suv, Front-wheel Drive, Boulder Gray Pearl",Accidents or damage: At least 1 accident or damage reported | 1-owner vehicle: Yes | Personal use only: Yes,"This 2023 Nissan Kicks 4dr SR FWD features a 1.6L 4 CYLINDER 4cyl Gasoline engine. It is equipped with a Continuously Variable transmission. The vehicle is Not Specified with a Not Specified interior. It is offered As-Is, extended warranty is available. - Climate Control, Cruise Control, Power Steer|…|ing, Power Mirrors, Leather Steering Wheel, Memory Seat Position, Clock, Tachometer, Telescoping Steering Wheel, Steering Wheel Radio Controls, Driver Airbag, Passenger Airbag, ABS Brakes, Rear Defogger, Fog Lights, Intermittent Wipers, AM/FM, Bluetooth, Child Proof Door Locks, Daytime Running Lights, Heated Mirrors, Parking Sensors, Premium Sound, Rear Wipers, Rear-Side Airbags, Remote Fuel Door, Remote Trunk Lid, Reverse Camera, Roll Stability Control, Side Curtain Airbags, Tire Pressure Monitor, Vanity Mirrors - Contact Michael Maratto at 914-968-0066 or mikem@sawmillautos.com for more information. -",2023-05-01T08:01:16.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
P7075376A,2023 Kia Forte LX,"$19,999","","7230 S Tacoma Way Tacoma, WA 98409","Great Deal | $1,478 under|Hot Car|Home Delivery|Virtual Appointments|VIN: 3KPF24AD4PE520717","2023, IVT, 2.0L I4 16V MPFI DOHC, Gasoline, 13 444 mi. | sedan, Front-wheel Drive, Clear White",Accidents or damage: None reported | 1-owner vehicle: Yes | Personal use only: Yes,"Everybody Knows Car Pros! Shop from home with ease with Car Pros Connect. Shop, Sign, and Delivered! 2023 Kia Forte LX FWD IVT 2.0L 4-Cylinder MPI Backup Camera, Power Mirror Package, Exterior Parking Camera Rear, Panic alarm, Power door mirrors, Security system. Recent Arrival! MSRP is Manufacturer|…|'s Suggested Retail Price, it is not our sale price, and is used for comparison purposes only. All vehicles are one of each. All Pre-Owned or certified vehicles are used. Subject to prior sale. A negotiable dealer documentary service fee of up to $200 may be added to the sale price or capitalized cost. All offers expire on close of business the day subject content is removed from website (you may print out copy of the ad, price and terms will be honored for the day printed) and all financing is subject to credit approval. Prices exclude tax, title, and license. All transactions are negotiable including price, trade allowance, interest rate (of which the dealer may retain a portion), term, and documentary service fee. Any agreement is subject to execution of contract documents. Every reasonable effort is made to ensure the accuracy of this data. Please consider verifying any information in question with a dealership sales representative.",2023-05-01T08:01:33.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
838695,2023 Kia Soul LX,"$26,995","","1609 S Main St Laurinburg, NC 28352","Great Deal | $1,404 under|Home Delivery|VIN: KNDJ23AU4P7838695","2023, Automatic, 2.0L I4 16V MPFI DOHC, Gasoline, 2 864 mi. | hatchback, Front-wheel Drive, Black",Accidents or damage: None reported | 1-owner vehicle: Yes | Personal use only: Yes,"Scotland Motors has helped thousands of people find the perfect vehicle at the best price. Our professional staff is trained to help you with the entire process of buying a car! Offering the best in used vehicles since 1967! We service our cars right here for you! Have peace of mind buying your next|…|vehicle from Scotland Motors! Most of our vehicles have warranties available. Extended warranties are also available. Call Scotland Motors today to find out how you can qualify for a beautiful pre-owned vehicle at 1-866-695-6162 or 910-276-7250. Located 1 Hour from Florence and Fayetteville, 45 Minutes from Pinehurst and Lumberton, 30 Minutes from Rockingham and Southern Pines.",2023-05-01T08:05:00.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
702073A,2023 Hyundai Elantra HEV Limited,"$27,888","","1300 E Camelback Rd. Phoenix, AZ 85014",Hot Car|Home Delivery|Virtual Appointments|VIN: KMHLN4AJ7PU059753,"2023, 6-Speed DCT Automatic, 1.6L I4 16V GDI DOHC Hybrid, Hybrid, 1 515 mi. | sedan, Front-wheel Drive, Onyx Black",Accidents or damage: None reported | 1-owner vehicle: Yes | Personal use only: No,"Bluetooth / iPhone Integration, Back up Camera. Clean CARFAX. 4D Sedan Limited FWD I4 6-Speed Dual Clutch 49/52 City/Highway MPG Odometer is 3537 miles below market average! 2023 Hyundai Elantra Hybrid Limited Thank you for looking. If you need additional information such as more photos we are here|…|to help. From our Floor to Your Door, In Store or Home Delivery available.",2023-05-01T08:02:52.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
D534913,2023 Kia Forte GT,"$19,900","","4751 w Flagler st coral gables, FL 33134",Hot Car|Home Delivery|Virtual Appointments|VIN: 3KPF44AC6PE534913,"2023, 7-Speed Automatic, 1.6L I4 16V GDI DOHC Turbo, Gasoline, 1 808 mi. | sedan, Front-wheel Drive, White","","Gables Motors is pleased to offer a complimentary 5 Year Maintenance Plan as an added perk for purchasing a vehicle from us. The 5 Year Maintenance Plan includes significant savings on oil changes, tire rotations, wheel alignments, brakes, radiator service, air conditioning service, and much more at|…|participating national-brand service centers.Maintenance plan benefits were once only available to customers who purchased a new vehicle from a manufacturer franchise dealership, but Gables Motors customers can now enjoy their quality, pre-owned vehicle for years to come with an included 5 Year Maintenance Plan saving them more on their maintenance and repairs and ensuring safe travels for the road ahead!DisclaimerOur prices are below market value. Sales tax, title, license, emission testing, documentation and compliance charges might be additional to our special advertised prices. We work with a variety of financial institutions to provide the best possible options. You will see all offers at time of contract signing. Simply choose the option that is right for you. We welcome good credit, bad credit, bankruptcy, divorce, first time buyer, and prior repos. Prices and vehicle availability could change without notice due to market adjustments and/or vehicles sold. Disclaimer is uploaded by a third-party, therefore, we are not responsible for typographical errors. All advertised prices are based on $3,000-$5,000 down w.a.c.",2023-05-01T08:01:43.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
146938,2023 Hyundai Kona SEL,"$29,495","","2590 S Carson St Carson City, NV 89701",Home Delivery|Virtual Appointments|VIN: KM8K6CABXPU987679,"2023, Automatic, 2.0L I4 16V MPFI DOHC, Gasoline, 125 mi. | suv, All-wheel Drive, Gray",Accidents or damage: None reported | 1-owner vehicle: Yes | Personal use only: No,"Thank you for visiting another one of Carson City Toyota's online listings! Please continue for more information on this 2023 Hyundai Kona SEL with 125mi. Want more room? Want more style? This Hyundai Kona SEL is the vehicle for you. You could spend more on fuel each month than on your vehicle payme|…|nts, so why not consider one with exceptional fuel economy like this 2023 Hyundai Kona. Hit the gas pedal and put the engine power to all four wheels. With AWD, you'll have the greater performance right off the line, every time you drive. The look is unmistakably Hyundai, the smooth contours and cutting-edge technology of this Hyundai Kona SEL will definitely turn heads.",2023-05-01T08:06:07.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
