card_id,vehicle,year,price_range,price_usd,location,home_delivery,virtual_appointments,included_warranty,VIN,transmission,transmission_type,engine,engine_vol,fuel,mpg,milage,milage_unit,body,drive,color,one_owner,accidents_or_damage,clean_title,personal_use_only,comment,scrap_date,source_id,dl_loaded_date
H12284S,Hyundai Kona SEL,2023,20000-29999,25000,"2525 Wardlow Rd Corona, CA 92882",Y,Y,Y,KM8K62AB7PU971370,IVT,IVT,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",3290,mi.,suv,Front-wheel Drive,Ultra Black,Yes,None reported,,No,"CARFAX One-Owner. Clean CARFAX. Certified. Ultra Black Pearl 2023 Hyundai Kona SEL CERTIFIED FWD IVT 2.0L 4-Cylinder CERTIFIED, BLUETOOTH, REAR VIEW CAMERA, MP3 CAPABLE, KEYLESS ENTRY, CLEAN CARFAX, ANDROID/APPLE CAR PLAY, PREVIOUS LOANER, Kona SEL CERTIFIED. 30/35 City/Highway MPG Hyundai C|…|ertified Pre-Owned Details:  Warranty Deductible: $50  Limited Warranty: 60 Month/60,000 Mile (whichever comes first) from original in-service date  Includes 10-year/Unlimited mileage Roadside Assistance with Rental Car and Trip Interruption Reimbursement; Please see dealers for specific vehicle eligibility requirements. 10-Year/100,000 Mile Hybrid/EV Battery Warranty. 3 months Siru-iusXM trial subscription  Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service date  173+ Point Inspection  Roadside Assistance  Vehicle History Experience the Cardinale Way difference. We develop outstanding relationships where everybody wins. All prices are plus dealer installed Protection Package for $2780.00. Proudly serving Inland Empire, Corona, Riverside, Ontario, San Bernardino, Orange County, Yorba Linda, Chino Hills 92882.",2023-05-04T08:45:59.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
86444A,Chevrolet Trailblazer LT,2023,20000-29999,28977,"43 Pruitt Blvd Akron, OH 44310",Y,Y,N,KL79MPS22PB067620,Automatic CVT,CVT,1.2L I3 12V GDI DOHC Turbo,1200.0,Gasoline,"",1290,mi.,suv,Front-wheel Drive,Sterling Gray Metallic,Yes,None reported,,Yes,"Excellent service history at a Dealership, Completely serviced and safety inspected, buy with confidence, Originally purchased at a nearby Honda dealership, we have all the service records for this Honda, Bluetooth, Balance of Factory Warranty, Local Trade, Carfax CERTIFIED Accident Free, SMOKE FREE|…|. 2023 Chevrolet TrailBlazer LT Sterling Gray Metallic FWD CVT 1.2L Ecotec Turbo DOHC DI w/VVT Odometer is 2012 miles below market average! 29/31 City/Highway MPG",2023-05-04T08:30:39.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
VUPM307957,Volkswagen Taos 1.5T S,2023,20000-29999,27000,"376 Tarrytown Rd White Plains, NY 10607",Y,Y,N,3VVAX7B29PM307957,7-Speed Automatic,Automatic,1.5L I4 16V GDI DOHC Turbo,1500.0,Gasoline,"",9171,mi.,suv,All-wheel Drive,Pyrite Silver Metallic,Yes,None reported,,Yes,"2023 Volkswagen Taos 1.5T S -Pyrite Silver Metallic -Gray/Black w/Cloth Seating Surfaces To take advantage of the special pricing for this vehicle, the purchase must be consummated based on mutually agreed upon method of financing the vehicle with in house lenders, customer must present ad at arriva|…|l and take same day delivery. $0 down available. Prices are adjusted and modified frequently -weekly, daily, and sometimes hourly. Price adjustment is a function of website traffic, inquiries, and bidding on any one particular vehicle. For more information and up to date accuracy of pricing and terms of sale, please visit our website, www.whiteplainsvolkswagen.com Excludes sales tax, registration fees, and finance and reconditioning charges (dealer fees may apply). Aftermarket/VW warranties and coverages are available but not necessary to purchase any vehicle. A complete listing of these items is available on site and upon request. Vehicles sold cosmetically as is, not responsible for typos. Customer Inquiries only- No Dealer or Wholesale calls please. At White Plains Volkswagen, we are committed to providing our customers with the lowest prices in the area and excellent customer service. Our personalized service differs completely from other dealerships. We truly care about each and every customer - rather than only our bottom line - and our goal is to insure that every customer leaves knowing they received the best deal possible. In our opinion, we would rather have repeat customers (and service customers) than making a one-time unfair deal. Prices include all rebates and incentives.",2023-05-04T08:29:50.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
Q27809A,Kia Soul LX,2023,20000-29999,24775,"3277 Satellite Blvd Duluth, GA 30096",Y,Y,N,KNDJ23AUXP7187895,Variable,"",Regular Unleaded I-4 2.0 L/122,2000.0,Gasoline,29–35 mpg,24112,mi.,hatchback,Front-wheel Drive,Inferno Red,Yes,None reported,,Yes,"FUEL EFFICIENT 35 MPG Hwy/29 MPG City! Hendrick Certified, CARFAX 1-Owner. Inferno Red exterior and Black/Gray interior, LX trim. Smart Device Integration, Bluetooth, LX TECHNOLOGY PACKAGE, Back-Up Camera, iPod/MP3 Input.|KEY FEATURES INCLUDE|Smart Device Integration. MP3 Player, Pr|…|ivacy Glass, Keyless Entry, Steering Wheel Controls, Child Safety Locks.|OPTION PACKAGES|LX TECHNOLOGY PACKAGE Blind-Spot Collision-Avoidance Assist, Wheels: 16\" Alloy, Lane Change Assist, Rear Cross-Traffic Collision Avoidance Assist. Kia LX with Inferno Red exterior and Black/Gray interior features a 4 Cylinder Engine with 147 HP at 6200 RPM.|PURCHASE WITH CONFIDENCE|12-month/12,000 mile High-Tech Coverage, 260-Point Vehicle Inspection, 24-hour Roadside Assistance, Trip Interruption Services, Vehicle Rental Coverage, CARFAX Vehicle History Report, 10-year/100,000 mile Limited Powertrain Warranty|WHO WE ARE|We have a strong and committed sales staff with many years of experience satisfying our customers' needs. Feel free to browse our inventory online, request more information about vehicles, set up a test drive or inquire about financing!|Horsepower calculations based on trim engine configuration. Fuel economy calculations based on original manufacturer data for trim engine configuration. Please confirm the accuracy of the included equipment by calling us prior to purchase.|This Dealership checks the vehicle recall status prior to making any pre-owned vehicle available for sale. Manufacturers and/or NHTSA may announce additional recalls at any time. To inquire about the recall status of this vehicle, visit: https://vinrcl.safercar.gov/vin/",2023-05-04T08:50:37.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PU996184P,Hyundai Kona SEL,2023,20000-29999,25990,"2542 West Palmetto Street Florence, SC 29501",Y,Y,N,KM8K6CAB6PU996184,IVT,IVT,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",810,mi.,suv,All-wheel Drive,Teal Isle,,None reported,Yes,Yes,"EXTERIOR 17 Alloy Wheels LED Daytime Running Lights Heated Side Mirrors with Turn Signal Indicators Roof Side Rails COMFORT & CONVENIENCE Proximity Key With Push Button Start Power Driver's Seat w/ lumbar support Rearview Monitor Front and Rear USB Charging Ports 8 Color Touchscreen Audio Display An|…|droid Auto(TM) & Apple CarPlay(TM) Teal Isle 2023 Hyundai Kona SEL AWD IVT 2.0L 4-Cylinder Welcome to ALM Hyundai of Florence!! With a huge inventory of everything under the sun, like Acura, Audi, BMW, Honda, Cadillac, Lexus, INFINITI, Jaguar, Land Rover, Nissan, Porsche, Volvo, Chevy, Toyota, Mercedes Benz, and more, we're confident that we'll find the right vehicle at the right price for you. That's because our inventory comes directly from the manufacturers' leasing departments, which allows us to offer you the car of your dreams at a price other dealers can't. We eliminate much of the overhead of traditional dealers to save you money on your vehicle purchase. Safe and reliable cars, with low mileage, is what we are all about! Odometer is 2075 miles below market average! 28/33 City/Highway MPG If you're in the market for a pre-owned car at incredible prices and with outstanding service, ALM Hyundai of Florence is the best option in town. Doesn't matter if you have good credit or bad credit, our finance department will get you approved. And no, we're not just tooting our own horn. Contact us today to see our awesome inventory.",2023-05-04T08:53:40.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
YPJ7929,Hyundai Elantra Limited,2023,20000-29999,24997,"6750 W Grand Ave Chicago, IL 60707",Y,Y,N,5NPLP4AG6PH096371,Automatic CVT,CVT,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",7494,mi.,sedan,Front-wheel Drive,Quartz White,Yes,At least 1 accident or damage reported,,Yes,"APPLE CAR PLAY/ANDROID AUTO, BLUETOOTH HANDS-FREE CALLING!, REAR VIEW BACK-UP CAMERA!, FACTORY CERTIFIED PRE-OWNED VEHICLE! , ACCIDENT FREE , ADVANCED SAFETY TECHNOLOGY, SiriusXM Radio, Hyundai Blue Link, 1Owner, Certified.Your journey just begins with your new Hyunda|…|i purchase. Our factory trained & certified service team is here to help you continue to keep your Hyundai looking and running like new here at McGrath City Hyundai. Kick back in our newly renovated service lounge and enjoy complimentary Wifi, gourmet coffee and snacks and even HD TV. Our complimentary shuttle service runs every half hour and allows you to schedule pickups within 5 miles from our store. Better yet, if your service lasts longer than 24 hours, we'll give you a complimentary loaner car for the day! 2023 Hyundai Quartz White ElantraMcGrath City Hyundai, Proudly Serving Drivers from Chicago, Oak Park, Cicero, Berwyn and Des Plaines invites you to find your automotive match! McGrath City Hyundai in Chicago, IL views every customer as if they were a friend. We want to know your driving habits and standards so we can better find the Hyundai model that fits your expectations. Let us show you exactly how our personal dedication and commitment to our customers is beyond anything you've experienced before. We won't let you down!",2023-05-04T08:19:07.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
3700358A,Subaru Impreza Premium,2023,20000-29999,26995,"107 SE Grand Ave Portland, OR 97214",N,N,N,4S3GTAD69P3700358,Automatic CVT,CVT,2.0L H4 16V GDI DOHC,2000.0,Gasoline,"",4668,mi.,hatchback,All-wheel Drive,Magnetite Gray Metallic,Yes,None reported,,Yes,"Recent Arrival! Clean CARFAX. CARFAX One-Owner. Certified. Originally sold new at Subaru of Portland, the customer that traded in this extremely low mileage Impreza decided that they wanted a larger Subaru for their adventures. Even though this Impreza hasn't gotten to the 6,000 mile mark, Subaru of|…|Portland's certified technicians went ahead and did a full oil change service and 152 point Subaru Certified Pre-Owned inspection. Impreza Premium, 4D Hatchback, 2.0L DOHC, CVT Lineartronic, AWD, Magnetite Gray Metallic, Black w/Cloth Upholstery. Subaru Certified Pre-Owned Details:  Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date  Transferable Warranty  Roadside Assistance  SiriusXM 3-Month trial subscription, $500 Owner Loyalty coupon & 1 year trial subscription to STARLINK  Vehicle History  Warranty Deductible: $0  152 Point Inspection 28/36 City/Highway MPG Come visit us at 107 SE Grand Ave. Portland OR 97214 located on the eastside of the Burnside Bridge. Contact us at 503-743-6767 to speak with one of our product specialists. Subaru of Portland is part of the O'Brien Auto Group.",2023-05-04T08:44:34.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
SP250,Mitsubishi Eclipse Cross LE,2023,20000-29999,26296,"1096 US-280 Cordele, GA 31015",Y,Y,N,JA4ATVAA2PZ000355,Automatic CVT,CVT,1.5L I4 16V GDI DOHC Turbo,1500.0,Gasoline,"",5674,mi.,suv,Four-wheel Drive,Diamond Red,Yes,None reported,,Yes,"25/26 City/Highway MPG 2023 Mitsubishi Eclipse Cross LE 1.5L I4 DI Turbocharged DOHC 16V LEV3-ULEV70 152hp Recent Oil Change, Special Finance Rates, We Deliver Anywhere, Touch Screen Dash, AVAILABLE NATIONWIDE LIFETIME POWERTRAIN WARRANTY, 4 Speakers, 4-Wheel Disc Brakes, 6.39 Axle Ratio|…|, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Android Auto & Apple CarPlay, Auto High-beam Headlights, Automatic temperature control, Brake assist, Bumpers: body-color, Cloth Fabric Seating Surfaces, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Exterior Parking Camera Rear, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front fog lights, Front reading lights, Fully automatic headlights, Heated door mirrors, Heated Front Bucket Seats, Heated front seats, Illuminated entry, Knee airbag, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Radio data system, Radio: AM/FM 8.0 Smartphone-Link Display Audio, Rear anti-roll bar, Rear seat center armrest, Rear window defroster, Rear window wiper, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Turn signal indicator mirrors, Variably intermittent wipers, Wheels: 18 Black Painted Alloy. Why buy from South GA CDJR ? We are a locally family owned and operated.. We will BEAT any local advertised price! You will get top dollar for your trade. You will get our best price in minutes! We will buy your car for cash - even if you don't buy ours. If we don't have the vehicle you want, let us know and",2023-05-04T08:43:20.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
K23244A,Kia Seltos EX,2023,20000-29999,28998,"5431 75th St Kenosha, WI 53142",Y,Y,Y,KNDERCAAXP7403313,IVT,IVT,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",2970,mi.,suv,All-wheel Drive,Gravity Gray,Yes,None reported,,Yes,"ACCIDENT FREE CAR FAX ONE OWNER BALANCE OF FACTORY WARRANTY AWD LEATHER SEATS NAVIGATION POWER SUNROOF BLUETOOTH BACK UP CAMERA POWER DRIVERS SEAT HEATED SEATS APPLE CARPLAY ANDROID AUTO About Us: Howard Palmen's sons, Ron and Roger, took over the|…|business in 1970, and acquired the Dodge franchise. In the late 1980's, the business moved to a new, state-of-the-art dealership in the western part of Kenosha. Today the family tradition continues as Ron's son, Andrew, continues to move the business forward with the addition of a Kia franchise (1998) in Kenosha, a Dodge Jeep dealership (2001) in Racine, Wisconsin, and a Buick GMC Cadillac dealership (2010) in Kenosha, Wisconsin. All along, the group has stayed focused on high levels of customer satisfaction, being a sales volume leader and maintaining a well-trained staff of professionals.",2023-05-04T08:52:31.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
AP1107B,Hyundai Sonata SEL,2023,20000-29999,28192,"1399 Riverdale St West Springfield, MA 01089",N,N,N,KMHL64JA8PA286660,Automatic,Automatic,2.5L,2500.0,Gasoline,"",1660,mi.,sedan,Front-wheel Drive,White,Yes,None reported,Yes,No,Recent Arrival! Dark Gray Cloth.27/37 City/Highway MPG,2023-05-04T08:39:22.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
