card_id,vehicle,year,price_range,price_usd,price_history,location,home_delivery,virtual_appointments,included_warranty,VIN,transmission,transmission_type,engine,engine_vol,fuel,mpg,milage,milage_unit,body,drive,color,one_owner,accidents_or_damage,clean_title,personal_use_only,comment,scrap_date,source_id,dl_loaded_date
P15967,Kia Rio S,2023,10000-19999,19924,"","13150 I-10 Service Road New Orleans, LA 70128",Y,Y,N,3KPA24AD8PE568294,Automatic CVT,CVT,1.6L I4 16V MPFI DOHC,1600.0,Gasoline,"",12,mi.,sedan,Front-wheel Drive,Clear White,,None reported,Yes,Yes,Clear White 2023 Kia Rio S FWD CVT 1.6L 4-Cylinder,2023-05-01T08:01:24.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
P15968,Kia Rio S,2023,10000-19999,19924,"","13150 I-10 Service Road New Orleans, LA 70128",Y,Y,N,3KPA24AD4PE566719,Automatic CVT,CVT,1.6L I4 16V MPFI DOHC,1600.0,Gasoline,"",12,mi.,sedan,Front-wheel Drive,Clear White,,None reported,Yes,Yes,Clear White 2023 Kia Rio S FWD CVT 1.6L 4-Cylinder,2023-05-01T08:01:21.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
P15970,Kia Rio S,2023,10000-19999,19924,"","13150 I-10 Service Road New Orleans, LA 70128",Y,Y,N,3KPA24AD6PE568004,Automatic CVT,CVT,1.6L I4 16V MPFI DOHC,1600.0,Gasoline,"",11,mi.,sedan,Front-wheel Drive,Steel Gray,,None reported,Yes,Yes,Steel Gray 2023 Kia Rio S FWD CVT 1.6L 4-Cylinder,2023-05-01T08:01:27.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
P15966,Kia Rio S,2023,10000-19999,19924,"","13150 I-10 Service Road New Orleans, LA 70128",Y,Y,N,3KPA24AD7PE568075,Automatic CVT,CVT,1.6L I4 16V MPFI DOHC,1600.0,Gasoline,"",11,mi.,sedan,Front-wheel Drive,Steel Gray,,None reported,Yes,Yes,Steel Gray 2023 Kia Rio S FWD CVT 1.6L 4-Cylinder,2023-05-01T08:01:29.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
23804526,Hyundai Elantra SEL,2023,20000-29999,25998,"","2001 Lockwood St Oxnard, CA 93036",Y,N,N,5NPLM4AG4PH102872,Automatic,Automatic,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",5672,mi.,sedan,Front-wheel Drive,Blue,,,,,"Meet the Love Your Car Guarantee from CarMax! You can take your time with a 24-hour test drive and a 30-day money back guarantee (up to 1500 miles) to be sure it's the right car for you (restrictions apply). At CarMax, finding the right car is easy. You can shop online, get pre-qualified with no imp|…|act to your credit, and receive a trade-in offer all from the comfort of home. See carmax.com for details. Then, when it's time to buy, you can choose express pickup at your local CarMax or home delivery in select markets. And we stand behind every used car we sell with a 90-Day/4,000-Mile (whichever comes first) Limited Warranty. See store for details. Price excludes government fees and taxes, any finance charges, $85 CarMax document processing charge (not required by law), any electronic filing charge, and any emission testing charge. Price assumes that final purchase will be made in the State of CA, unless vehicle is non-transferable. Vehicle subject to prior sale. Applicable transfer fees are due in advance of vehicle delivery and are separate from sales transactions. Certain vehicles may have unrepaired safety recalls. Check nhtsa.gov/recalls to learn if this vehicle has an unrepaired safety recall. Inventory shown here is updated every 24 hours. Prior Use: LOANER",2023-05-01T08:06:09.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
KTDB433468,Kia Seltos S,2023,20000-29999,26750,"","27908 Hickory Boulevard Bonita Springs, FL 34134",Y,Y,N,KNDEU2AA1P7433468,IVT,IVT,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",703,mi.,suv,Front-wheel Drive,Steel Gray,Yes,None reported,,Yes,"2023 Kia Seltos S Beautifully finished in Steel Gray with Black Cloth interior. 2.0L I4 MPI 4D Sport Utility FWD IVT CARFAX One-Owner. Clean CARFAX. 29/35 City/Highway MPG Napleton's North Lake Kia proudly serving the following communities West Palm Beach, Wellington, Boynton Beach, Delray, Royal Pa|…|lm Beach, Ft. Pierce, Stuart, Jupiter, Pembroke Pines, Green Acres, Palm Springs & Palm Beach Gardens.",2023-05-01T08:02:49.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
23935142,Kia Seltos S,2023,20000-29999,28998,"2/28/23: $29,998 | 4/25/23: $28,998","6410 66th St Lubbock, TX 79424",N,N,N,KNDEU2AA7P7371462,Automatic,Automatic,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",7464,mi.,suv,Front-wheel Drive,White,Yes,None reported,Yes,Yes,"Meet the Love Your Car Guarantee from CarMax! You can take your time with a 24-hour test drive and a 30-day money back guarantee (up to 1500 miles) to be sure it's the right car for you (restrictions apply). At CarMax, finding the right car is easy. You can shop online, get pre-qualified with no imp|…|act to your credit, and receive a trade-in offer all from the comfort of home. See carmax.com for details. Then, when it's time to buy, you can choose express pickup at your local CarMax or home delivery in select markets. And we stand behind every used car we sell with a 90-Day/4,000-Mile (whichever comes first) Limited Warranty. See store for details. Price excludes tax, title, tags and $150 documentary fee (not required by law). Price assumes that final purchase will be made in the State of TX, unless vehicle is non-transferable. Vehicle subject to prior sale. Applicable transfer fees are due in advance of vehicle delivery and are separate from sales transactions. Certain vehicles may have unrepaired safety recalls. Check nhtsa.gov/recalls to learn if this vehicle has an unrepaired safety recall. Inventory shown here is updated every 24 hours.",2023-05-01T08:06:48.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
MP3556,MINI Hardtop Cooper,2023,20000-29999,26995,"3/11/23: $27,995 | 3/24/23: $27,895 | 4/06/23: $27,695 | 4/19/23: $27,495 | 4/28/23: $26,995","3817 west henrietta road rochester, NY 14623",N,Y,N,WMW33DH00P2T16882,Automatic,Automatic,1.5L I3 12V GDI DOHC Turbo,1500.0,Gasoline,"",1639,mi.,hatchback,Front-wheel Drive,Chili Pepper Red,Yes,None reported,Yes,Yes,"Bluetooth, Hands-Free, Rear Back-Up Camera, Panoramic Moonroof, Apple Car Play / Android Auto.29/38 City/Highway MPGAt Bob Johnson Exchange, you can get the vehicle you want at the price you want along with a great customer experience. Clear - Simple - Different. Clear - the best price displayed on|…|every vehicle, Simple - work with one person from start to finish. Different - non-commissioned.",2023-05-01T08:03:07.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
24047395,Hyundai Venue SEL,2023,20000-29999,24998,"","551 S Houston Lake Rd Warner Robins, GA 31088",Y,N,N,KMHRC8A30PU213650,Automatic,Automatic,1.6L I4 16V MPFI DOHC,1600.0,Gasoline,"",1569,mi.,suv,Front-wheel Drive,Red,,,,,"Meet the Love Your Car Guarantee from CarMax! You can take your time with a 24-hour test drive and a 30-day money back guarantee (up to 1500 miles) to be sure it's the right car for you (restrictions apply). At CarMax, finding the right car is easy. You can shop online, get pre-qualified with no imp|…|act to your credit, and receive a trade-in offer all from the comfort of home. See carmax.com for details. Then, when it's time to buy, you can choose express pickup at your local CarMax or home delivery in select markets. And we stand behind every used car we sell with a 90-Day/4,000-Mile (whichever comes first) Limited Warranty. See store for details. Price excludes tax, title and tags. Price assumes that final purchase will be made in the State of GA, unless vehicle is non-transferable. Vehicle subject to prior sale. Applicable transfer fees are due in advance of vehicle delivery and are separate from sales transactions. Certain vehicles may have unrepaired safety recalls. Check nhtsa.gov/recalls to learn if this vehicle has an unrepaired safety recall. Inventory shown here is updated every 24 hours.",2023-05-01T08:03:12.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
23806817,Kia Sportage LX,2023,20000-29999,28998,"","551 S Houston Lake Rd Warner Robins, GA 31088",Y,N,N,KNDPU3AF5P7034234,Automatic,Automatic,2.5L I4 16V PDI DOHC,2500.0,Gasoline,"",5544,mi.,suv,Front-wheel Drive,White,Yes,At least 1 accident or damage reported,Yes,Yes,"Meet the Love Your Car Guarantee from CarMax! You can take your time with a 24-hour test drive and a 30-day money back guarantee (up to 1500 miles) to be sure it's the right car for you (restrictions apply). At CarMax, finding the right car is easy. You can shop online, get pre-qualified with no imp|…|act to your credit, and receive a trade-in offer all from the comfort of home. See carmax.com for details. Then, when it's time to buy, you can choose express pickup at your local CarMax or home delivery in select markets. And we stand behind every used car we sell with a 90-Day/4,000-Mile (whichever comes first) Limited Warranty. See store for details. Price excludes tax, title and tags. Price assumes that final purchase will be made in the State of GA, unless vehicle is non-transferable. Vehicle subject to prior sale. Applicable transfer fees are due in advance of vehicle delivery and are separate from sales transactions. Certain vehicles may have unrepaired safety recalls. Check nhtsa.gov/recalls to learn if this vehicle has an unrepaired safety recall. Inventory shown here is updated every 24 hours.",2023-05-01T08:02:34.000Z,cars.com scrapper,2023-05-03T22:26:45.376Z
